,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Mode
325,9.33,-0.57,2.06,-0.57,0.08,-0.0,0.0
326,10.58,-1.32,3.03,-0.83,-0.02,-0.16,0.0
327,11.03,-0.63,1.46,-0.73,-0.14,-0.02,0.0
328,9.21,-0.36,2.44,-0.69,0.06,-0.08,0.0
329,10.67,0.19,2.76,-0.34,-0.01,0.12,0.0
330,10.83,-0.21,1.64,-0.79,-0.03,0.01,0.0
331,9.13,-0.75,1.89,-0.68,0.16,-0.04,0.0
332,10.81,-1.07,2.64,-0.66,0.09,-0.19,0.0
333,10.02,-0.64,2.17,-0.68,0.09,-0.08,0.0
334,10.93,0.02,2.12,-0.33,-0.04,0.1,0.0
335,11.15,-0.46,1.05,-0.5,-0.01,-0.06,0.0
336,9.17,-0.69,1.99,-0.55,0.17,0.01,0.0
337,10.71,-1.32,2.79,-0.73,0.04,-0.17,0.0
338,10.83,-0.61,1.96,-0.68,-0.11,-0.05,0.0
339,10.42,-0.49,2.51,-0.68,0.03,-0.05,0.0
340,10.42,0.11,2.73,-0.27,0.11,0.07,0.0
341,10.77,0.11,2.61,-0.58,-0.03,-0.03,0.0
342,11.09,-0.26,1.32,-0.72,-0.02,-0.01,0.0
343,9.02,-0.56,2.33,-0.7,0.17,-0.01,0.0
344,11.13,-0.44,1.74,-0.64,-0.22,0.0,0.0
345,9.26,-0.28,2.73,-0.62,0.04,-0.03,0.0
346,10.52,0.24,3.05,-0.32,0.05,0.08,0.0
347,9.54,-0.61,2.12,-0.58,0.25,0.04,0.0
348,10.68,-1.02,2.46,-0.92,-0.07,-0.29,0.0
349,11.83,-1.31,1.3,-0.4,-0.09,-0.05,0.0
350,11.04,-0.62,1.47,-0.64,-0.12,0.01,0.0
351,9.29,-0.48,2.25,-0.59,0.09,-0.03,0.0
352,10.56,-0.19,2.08,-0.36,-0.1,0.12,0.0
353,11.21,-0.83,0.89,-0.6,-0.04,-0.04,0.0
354,9.78,-0.75,1.98,-0.51,0.31,-0.01,0.0
355,10.64,-1.16,2.5,-0.81,-0.01,-0.23,0.0
356,11.17,-0.88,1.5,-0.49,-0.02,-0.18,0.0
357,10.92,-0.67,1.26,-0.69,-0.04,-0.02,0.0
358,9.21,-0.25,2.36,-0.57,0.05,-0.04,0.0
359,10.36,-0.16,2.07,-0.37,-0.11,0.1,0.0
360,11.3,-0.65,0.78,-0.75,-0.04,-0.0,0.0
361,10.85,-1.14,2.24,-0.66,-0.1,-0.25,0.0
362,9.66,-0.46,2.26,-0.56,-0.08,-0.03,0.0
363,10.84,-0.07,1.86,-0.31,-0.03,0.1,0.0
364,11.56,-0.45,0.86,-0.73,-0.06,-0.04,0.0
365,9.67,-0.69,1.72,-0.67,0.25,0.01,0.0
366,10.74,-1.16,2.67,-0.75,0.02,-0.22,0.0
367,11.23,-0.48,1.16,-0.68,-0.18,0.0,0.0
368,9.28,-0.16,2.29,-0.58,-0.04,-0.03,0.0
369,10.8,0.23,2.11,-0.37,0.09,0.11,0.0
370,9.94,-0.54,1.89,-0.67,0.34,0.03,0.0
371,11.35,-0.42,1.34,-0.75,-0.29,0.04,0.0
372,9.58,-0.12,2.47,-0.57,0.0,-0.04,0.0
373,10.5,0.05,2.51,-0.38,0.04,0.12,0.0
374,10.87,-0.06,2.34,-0.51,-0.07,0.04,0.0
375,11.33,-0.56,1.08,-0.69,-0.02,0.02,0.0
376,9.21,-0.86,1.87,-0.57,0.14,0.03,0.0
377,11.58,-0.4,0.96,-0.88,-0.37,-0.02,0.0
378,9.52,-0.58,2.5,-0.54,-0.03,-0.08,0.0
379,10.25,0.34,2.22,-0.26,0.02,0.11,0.0
380,10.93,-0.25,2.09,-0.49,0.08,0.02,0.0
381,9.17,-0.7,1.82,-0.59,0.08,0.02,0.0
382,11.51,-0.57,1.41,-0.85,-0.27,0.01,0.0
383,9.64,-0.33,2.28,-0.65,0.16,-0.06,0.0
384,10.51,-0.01,2.57,-0.32,-0.0,0.07,0.0
385,9.33,-0.59,2.1,-0.62,0.12,-0.01,0.0
386,10.75,-1.34,2.47,-0.73,0.06,-0.25,0.0
387,11.15,-0.44,1.26,-0.79,-0.14,-0.02,0.0
388,9.09,-0.27,2.37,-0.63,0.09,-0.01,0.0
389,10.71,-0.02,2.85,-0.27,0.07,0.17,0.0
390,11.3,-0.77,1.64,-0.78,0.0,-0.15,0.0
391,11.74,-0.42,1.4,-0.75,-0.39,-0.05,0.0
392,9.48,-0.15,2.77,-0.62,0.24,-0.1,0.0
393,10.86,-0.17,2.31,-0.37,-0.18,0.09,0.0
394,11.64,-0.15,1.0,-0.71,-0.24,-0.0,0.0
395,8.76,-0.98,2.19,-0.68,0.15,0.03,0.0
396,10.39,-1.05,1.98,-0.81,0.09,-0.28,0.0
397,9.3,-0.35,2.19,-0.65,0.09,-0.02,0.0
398,10.76,-0.26,2.62,-0.3,0.11,0.06,0.0
399,11.11,0.05,1.5,-0.54,0.01,-0.05,0.0
400,10.67,-1.08,3.22,-0.76,0.05,-0.25,0.0
401,11.08,-0.68,1.98,-0.89,-0.21,0.03,0.0
402,9.28,-0.32,3.04,-0.61,-0.01,-0.03,0.0
403,10.69,0.3,2.99,-0.25,0.04,0.26,0.0
404,9.68,-0.63,2.28,-0.68,0.3,-0.06,0.0
405,10.41,-1.53,3.13,-0.63,-0.02,-0.22,0.0
406,9.18,-0.11,2.81,-0.67,0.09,-0.03,0.0
407,10.64,0.08,2.98,-0.29,-0.06,0.11,0.0
408,9.1,-0.43,2.39,-0.75,0.2,-0.03,0.0
409,10.69,-1.55,2.75,-0.66,0.07,-0.25,0.0
410,10.59,-0.43,1.29,-0.83,-0.08,-0.04,0.0
411,9.57,-0.12,2.31,-0.77,0.04,-0.05,0.0
412,10.59,0.1,2.74,-0.38,-0.04,0.12,0.0
413,9.15,-0.44,2.0,-0.62,0.17,0.01,0.0
414,11.36,-0.68,1.31,-0.81,-0.27,-0.02,0.0
415,9.39,-0.17,2.24,-0.52,0.08,-0.06,0.0
416,10.73,-0.03,2.09,-0.41,-0.0,0.14,0.0
417,9.26,-0.64,1.87,-0.35,0.23,0.02,0.0
418,10.97,-0.87,2.56,-0.8,0.01,-0.2,0.0
419,11.41,-0.15,1.28,-0.84,-0.1,-0.03,0.0
420,9.29,-0.09,2.16,-0.73,0.07,-0.13,0.0
